Date,Close,Volume,Symbol
10/3/2016,31.5,14070500,CSCO
10/3/2016,112.52,21701800,AAPL
10/3/2016,57.42,19189500,MSFT
10/4/2016,113,29736800,AAPL
10/4/2016,57.24,20085900,MSFT
10/4/2016,31.35,18460400,CSCO
10/5/2016,57.64,16726400,MSFT
10/5/2016,31.59,11808600,CSCO
10/5/2016,113.05,21453100,AAPL
